synonym
acreage
acres
estate
estates
field
fields
garden
gardens
grassland
grasslands
homestead
homesteads
lawn
lawns
meadow
meadows
nursery
nurseries
orchard
orchards
pasture
pastures
plantation
platations
ranch
ranches
acres
arboretum
claim
enclosure
farmstead
freehold
grange
holding
patch
land
lands
vineyard
vineyards
demense
farm
greens
house
farms
