synonym
boar
boars
hog
hogs
piglet
piglets
swine
swines
piggy
piggies
porker
porkers
shoat
shoats
sow
sows
cob roller
cob rollers
porky
porkies
pig
pigs
porcine
porcines
squealer
squealers
grunter
grunters
suckling
sucklings

